prompt,chat,link,date,sent,status,eligible,chat_name,subscription_id
"Ребята, срочно нужен номер телефона мастера по ремонту телевизоров!!!!  Кто знает, напишите, пожалуйста.","Мариупольский чат ""Дружба""",t.me/mariupol_druzhba/971329,11/16/2024 8:42pm,,,,,
"И как установить на смарт тв андроид прогу с телефона смарт ?.. ? Люди , мне 60 лет , но я не ""ископаемое"" , даже буквы знаю как писать ! Правда , помогите ... 🤗😞",🄸🄿🅃🅅 🅂🄷🄰🅁🄴🄳,t.me/iptv_shared/81452,11/16/2024 8:42pm,,,,,
"У самсунг есть сайт с помощью которого можно найти телефон если он включён, вбейте в поиск find my phone samsung.","ЗАПОЛЯРНАЯ - ЖК Славянка, ЖК на Красных Партизан, ЖК Студия 45, КРАСНОДАР",t.me/zapolyarka/34989,11/16/2024 8:43pm,,,,,
Нужен мастер по заправке холодильника фреоном,Херсонская область чат🇷🇺,t.me/kkhersonn_chatikk/3521283,11/16/2024 8:50pm,,,,,
"Девочки кто сможет поснимать на видео встречу 18.11 вечером ? Можно не профессионально , можно на телефон , естественно за оплату , пишите договоримся 🙏очень нужна помощь.",Главный чат||Панган/Самуи 🇹🇭,t.me/GlavPangan/35929,11/16/2024 8:50pm,,,,,
Добрый день! Есть номер мастера по ремонту стиральных машин?,"Соседи ЖК ""Борисоглебское"" Новофедоровское",t.me/inf_BG/135732,11/16/2024 8:52pm,checked,checked,checked,,
"Подскажите пожалуйста мастера по ремонту окон. Нужно заменить стеклопакет, второй раз треснуло окно одно и то же🥲 А контакт мастера не остался",Женский чат🌷 Тбилиси,t.me/tbilisi_girl/283335,11/16/2024 8:52pm,,,,,
Кто занимается ремонтом стиральных машин пишите в лс номер телефона пожалуйста,Ізмаїл - товари та послуги,t.me/MyBazarUA/239479,11/16/2024 8:52pm,,,,,
"/gpt как сбросить телефон хонор 8 до заводских настроек и чтобы не просил пин код и входа в гугл аккаунт, ну короче чтобы он был прям из коробки",КАКИШ,t.me/KakishDeda/10513972,11/16/2024 8:52pm,,,,,
"В телефоне это делается через настройки, на компе через диспетчер задач",Amnezia VPN (RU),t.me/amnezia_vpn/366743,11/16/2024 8:52pm,,,,,
"Соседи, добрый вечер. Подскажите, пожалуйста, контакт мастера, кто может телевизор на стену повесить. Спасибо 🙏",error,t.me/ilmen_17/147495,11/16/2024 8:52pm,,,,,
Срочно нужен сантехник! Дайте пожалуйста номер!,error,t.me/Krasnodonchat_DELETED/625437,11/16/2024 8:52pm,,,,,
"Добрый вечер, у кого есть номер мастера стиральных машин?",Салмачи - Куюки | Онлайн,t.me/salmachi_online_chat/391038,11/16/2024 8:53pm,checked,checked,checked,,
"Вечер добрый, ноутбук Dell 9330 выдает вот такое после замены ssd (АКБ отключал ничего не задел) Есть мысли по этому поводу?",Vik-on,t.me/vik_on/2308958,11/16/2024 8:54pm,,,,,
добрый вечер Кто может установить винду? в лс пожалуйста,Красная Поляна | Общий чат,t.me/ChatsKP/95040,11/16/2024 8:55pm,,,,,
"Продам телефон Самсунг а10. Все работает. Сброшен на заводские настройки. Использовался в чехле и защитным стеклом. Экран без царапин. Цена 30 евро, кабель и зарядное не родное.","🇺🇦 Дюссельдорф объявления (работа, услуги, предложения, перевозки)",t.me/werbung_dus/117013,11/16/2024 8:58pm,,,,,
"Пройти подтверждение личности как минимум, чтобы потом установить телефон как ключ. Это пока машина в китае и работает приложение",ZEEKR club,t.me/zeekrclub/713156,11/16/2024 8:59pm,,,,,
"Подскажите, пожалуйста, контакты мастера по ремонту стиральных машинок.Салтовка. Благодарю.",ХАРКІВ інфочат,t.me/kharkiv_infochat/493357,11/16/2024 9:01pm,,,,,
Кто знает не дорогие прачечные? Стиральная машина сломалась 🥲,Казахи в Дубай,t.me/kazakhindubai/1003288,11/16/2024 9:03pm,,,,,
"Удали тик ток если установлен, если не установлен то просто очисти память и перезагрузи телефон",Крутые проги чат️,t.me/progi95_group/923084,11/16/2024 9:05pm,,,,,
Добрый день.  Подскажите где в московском можно почистить ноутбук,ВЫСТАВКИ В 2024 РАСПИСАНИЕ,t.me/my_moskovskii/140038,11/16/2024 9:07pm,,,,,
"Девочки кто сможет поснимать на видео встречу 18.11 вечером ? Можно не профессионально , можно на телефон , естественно за оплату , пишите договоримся 🙏очень нужна помощь. Бангкок",Таиланд женский чат | Услуги красоты,t.me/thailand_women_chat/11998,11/16/2024 9:12pm,,,,,
